Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2.030000,2.180000,2.000000,2.130000,2.130000,8877002
2019-01-03,2.130000,2.195000,2.075000,2.150000,2.150000,6050355
2019-01-04,2.200000,2.280000,2.170000,2.220000,2.220000,10829980
2019-01-07,2.250000,2.270000,2.190000,2.210000,2.210000,6908515
2019-01-08,2.210000,2.230000,2.130000,2.140000,2.140000,5745566
2019-01-09,2.180000,2.290000,2.150000,2.280000,2.280000,11637475
2019-01-10,2.290000,2.320000,2.220000,2.230000,2.230000,9603774
2019-01-11,2.230000,2.250000,2.160000,2.170000,2.170000,7819440
2019-01-14,2.170000,2.210000,2.110000,2.120000,2.120000,5960812
2019-01-15,2.140000,2.170000,2.110000,2.110000,2.110000,4549293
2019-01-16,2.120000,2.140000,1.990000,2.020000,2.020000,16684332
2019-01-17,2.020000,2.115000,1.990000,2.090000,2.090000,11117592
2019-01-18,2.130000,2.150000,2.080000,2.100000,2.100000,11436454
2019-01-21,2.120000,2.120000,2.060000,2.090000,2.090000,1573223
2019-01-22,2.090000,2.100000,2.020000,2.060000,2.060000,5311102
2019-01-23,2.060000,2.090000,2.020000,2.020000,2.020000,4629514
2019-01-24,2.030000,2.050000,1.920000,1.930000,1.930000,11051816
2019-01-25,1.950000,2.020000,1.850000,2.000000,2.000000,12612777
2019-01-28,2.000000,2.010000,1.920000,1.950000,1.950000,8636122
2019-01-29,1.950000,1.960000,1.900000,1.900000,1.900000,6880068
2019-01-30,1.930000,1.950000,1.910000,1.940000,1.940000,5315412
2019-01-31,1.950000,2.010000,1.910000,1.990000,1.990000,11526102
2019-02-01,1.990000,1.990000,1.950000,1.970000,1.970000,4322926
2019-02-04,1.950000,1.960000,1.900000,1.910000,1.910000,6010164
2019-02-05,1.900000,1.940000,1.860000,1.930000,1.930000,6194723
2019-02-06,1.950000,2.080000,1.920000,2.050000,2.050000,16413294
2019-02-07,2.100000,2.180000,2.070000,2.150000,2.150000,10243410
2019-02-08,2.150000,2.170000,2.050000,2.060000,2.060000,4636705
2019-02-11,2.080000,2.090000,1.990000,2.000000,2.000000,8389198
2019-02-12,2.020000,2.040000,1.950000,2.020000,2.020000,8791081
2019-02-13,2.020000,2.040000,1.990000,2.040000,2.040000,4769975
2019-02-14,2.180000,2.530000,2.170000,2.510000,2.510000,43594897
2019-02-15,2.490000,2.770000,2.480000,2.500000,2.500000,28482593
2019-02-19,2.530000,2.760000,2.475000,2.760000,2.760000,20916668
2019-02-20,2.800000,2.920000,2.730000,2.840000,2.840000,23074577
2019-02-21,2.880000,2.940000,2.680000,2.780000,2.780000,18897230
2019-02-22,2.800000,2.840000,2.745000,2.790000,2.790000,8553059
2019-02-25,2.830000,2.860000,2.770000,2.790000,2.790000,10462524
2019-02-26,2.770000,2.810000,2.660000,2.680000,2.680000,13166466
2019-02-27,2.660000,2.690000,2.560000,2.630000,2.630000,11673212
2019-02-28,2.650000,2.820000,2.590000,2.800000,2.800000,15840025
2019-03-01,2.860000,2.940000,2.820000,2.900000,2.900000,17199480
2019-03-04,2.930000,3.030000,2.855000,2.920000,2.920000,20954957
2019-03-05,2.900000,2.970000,2.890000,2.950000,2.950000,11245669
2019-03-06,2.930000,2.950000,2.800000,2.830000,2.830000,13448815
2019-03-07,2.810000,2.890000,2.720000,2.880000,2.880000,11884650
2019-03-08,2.790000,2.860000,2.780000,2.840000,2.840000,8233714
2019-03-11,2.840000,2.920000,2.820000,2.850000,2.850000,6521310
2019-03-12,2.870000,2.910000,2.810000,2.820000,2.820000,7042237
2019-03-13,2.800000,2.900000,2.790000,2.890000,2.890000,7729227
2019-03-14,2.920000,2.920000,2.820000,2.850000,2.850000,8386167
2019-03-15,2.850000,2.870000,2.820000,2.860000,2.860000,16769208
2019-03-18,2.850000,2.880000,2.810000,2.840000,2.840000,5604475
2019-03-19,2.850000,2.870000,2.840000,2.870000,2.870000,5096825
2019-03-20,2.850000,2.870000,2.800000,2.800000,2.800000,5837375
2019-03-21,2.810000,2.840000,2.800000,2.820000,2.820000,4620305
2019-03-22,2.810000,2.810000,2.670000,2.720000,2.720000,50254215
2019-03-25,2.690000,2.730000,2.620000,2.720000,2.720000,7006337
2019-03-26,2.750000,2.780000,2.690000,2.700000,2.700000,4809708
2019-03-27,2.690000,2.710000,2.650000,2.690000,2.690000,4538831
2019-03-28,2.660000,2.700000,2.640000,2.690000,2.690000,4902081
2019-03-29,2.660000,2.680000,2.530000,2.570000,2.570000,21155567
2019-04-01,2.620000,2.700000,2.570000,2.680000,2.680000,11722388
2019-04-02,2.690000,2.720000,2.630000,2.700000,2.700000,5831984
2019-04-03,2.700000,2.810000,2.690000,2.770000,2.770000,11719159
2019-04-04,2.760000,2.770000,2.710000,2.710000,2.710000,4033469
2019-04-05,2.730000,2.810000,2.715000,2.790000,2.790000,5384228
2019-04-08,2.770000,2.800000,2.730000,2.750000,2.750000,5223758
2019-04-09,2.730000,2.760000,2.680000,2.750000,2.750000,4843385
2019-04-10,2.750000,2.790000,2.700000,2.720000,2.720000,5032382
2019-04-11,2.710000,2.750000,2.700000,2.730000,2.730000,3346371
2019-04-12,2.720000,2.750000,2.700000,2.710000,2.710000,3257052
2019-04-15,2.710000,2.730000,2.630000,2.630000,2.630000,13983955
2019-04-16,2.640000,2.720000,2.640000,2.700000,2.700000,5885097
2019-04-17,2.710000,2.720000,2.640000,2.650000,2.650000,4082149
2019-04-18,2.660000,2.740000,2.640000,2.740000,2.740000,5561406
2019-04-22,2.720000,2.740000,2.710000,2.730000,2.730000,1227364
2019-04-23,2.730000,2.850000,2.720000,2.840000,2.840000,8977457
