Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,26.020000,26.160000,25.760000,25.990000,25.139456,16500
2019-01-03,25.940001,26.480000,25.750000,26.330000,25.468328,13500
2019-01-04,26.510000,26.799999,26.440001,26.670000,25.797203,27500
2019-01-07,26.750000,27.150000,26.430000,27.129999,26.242147,33500
2019-01-08,27.290001,27.290001,26.430000,26.690001,25.816549,30500
2019-01-09,26.889999,28.000000,26.719999,27.969999,27.054659,19900
2019-01-10,27.889999,28.500000,27.780001,28.180000,27.257786,25400
2019-01-11,28.260000,28.330000,27.709999,27.780001,26.870876,5000
2019-01-14,27.629999,27.680000,27.400000,27.549999,26.648403,6300
2019-01-15,27.600000,27.629999,27.389999,27.500000,26.600039,4100
2019-01-16,27.600000,27.600000,26.980000,27.240000,26.348547,24500
2019-01-17,27.290001,27.910000,27.200001,27.620001,26.716112,11400
2019-01-18,27.690001,27.940001,27.530001,27.730000,26.822514,21900
2019-01-21,27.780001,28.049999,27.209999,28.049999,27.132040,25800
2019-01-22,27.910000,27.910000,27.160000,27.540001,26.638733,17000
2019-01-23,27.690001,28.290001,27.620001,28.240000,27.315823,11000
2019-01-24,28.170000,28.170000,26.990000,27.270000,26.377569,22400
2019-01-25,27.350000,27.690001,26.799999,26.959999,26.077709,29400
2019-01-28,26.750000,27.200001,26.459999,26.850000,25.971313,19600
2019-01-29,26.840000,27.330000,26.820000,27.049999,26.164766,10300
2019-01-30,27.070000,27.420000,26.879999,27.110001,26.222805,15900
2019-01-31,27.049999,27.299999,26.900000,27.299999,26.406584,23500
2019-02-01,27.049999,27.490000,27.010000,27.360001,26.464621,8100
2019-02-04,27.350000,27.850000,27.350000,27.400000,26.503311,6500
2019-02-05,27.480000,27.530001,27.209999,27.209999,26.319529,3800
2019-02-06,27.190001,27.360001,26.940001,27.049999,26.164766,13900
2019-02-07,27.049999,27.180000,26.980000,26.980000,26.097057,16300
2019-02-08,26.910000,27.500000,26.910000,27.040001,26.155094,8800
2019-02-11,27.030001,27.299999,26.950001,27.030001,26.145420,5100
2019-02-12,27.139999,27.490000,27.000000,27.370001,26.474297,7600
2019-02-13,27.360001,27.510000,26.940001,26.990000,26.106731,22100
2019-02-14,27.110001,27.400000,26.920000,27.170000,26.280840,6000
2019-02-15,27.219999,27.219999,26.840000,26.990000,26.106731,11200
2019-02-19,26.950001,27.180000,26.799999,26.990000,26.106731,23600
